time RrLH FrLH Fr FrRH RrRH 
2.194e+00 2.367e+02 1.169e+02 2.922e+02 5.501e+02 1.058e+02
2.223e+00 2.455e+02 1.125e+02 2.926e+02 7.403e+02 2.820e+02
2.253e+00 2.367e+02 1.164e+02 3.689e+02 6.551e+02 1.058e+02
2.280e+00 2.451e+02 1.177e+02 3.048e+02 5.505e+02 1.061e+02
2.307e+00 2.452e+02 1.168e+02 2.795e+02 5.505e+02 1.058e+02
2.335e+00 2.451e+02 2.976e+01 3.050e+02 5.498e+02 2.775e+02
2.362e+00 2.452e+02 1.171e+02 2.921e+02 5.505e+02 1.059e+02
2.390e+00 2.454e+02 1.169e+02 3.050e+02 5.500e+02 1.060e+02
2.419e+00 2.448e+02 1.171e+02 2.917e+02 7.530e+02 1.057e+02
2.447e+00 2.447e+02 1.167e+02 3.053e+02 5.507e+02 1.061e+02
2.477e+00 2.452e+02 1.169e+02 3.049e+02 7.741e+02 2.902e+02
2.505e+00 2.448e+02 7.055e+01 3.056e+02 7.235e+02 1.058e+02
2.534e+00 2.447e+02 2.069e+01 2.925e+02 7.111e+02 1.058e+02
2.563e+00 2.451e+02 1.170e+02 3.434e+02 5.505e+02 1.058e+02
2.590e+00 2.366e+02 2.971e+01 2.922e+02 5.495e+02 1.058e+02
2.619e+00 2.457e+02 1.169e+02 2.922e+02 5.502e+02 1.054e+02
2.649e+00 2.449e+02 1.171e+02 3.051e+02 5.499e+02 1.064e+02
2.683e+00 5.807e+02 1.169e+02 3.052e+02 5.497e+02 1.060e+02
2.733e+00 5.807e+02 3.396e+02 2.922e+02 5.505e+02 2.826e+02
2.762e+00 2.454e+02 9.974e+01 3.178e+02 7.153e+02 2.908e+02
2.792e+00 2.152e+02 1.182e+02 3.051e+02 5.501e+02 1.059e+02
2.820e+00 2.453e+02 1.173e+02 3.049e+02 5.500e+02 2.358e+02
2.861e+00 2.451e+02 1.175e+02 3.054e+02 1.415e+03 1.058e+02
2.890e+00 2.454e+02 5.011e+01 3.049e+02 5.498e+02 1.057e+02
2.917e+00 2.444e+02 1.171e+02 2.926e+02 5.504e+02 1.058e+02
2.946e+00 2.453e+02 1.170e+02 3.053e+02 5.587e+02 1.058e+02
2.974e+00 2.449e+02 1.167e+02 3.051e+02 5.501e+02 1.058e+02
3.003e+00 2.452e+02 1.176e+02 2.924e+02 6.824e+02 1.067e+02
3.030e+00 1.822e+02 1.174e+02 2.919e+02 5.502e+02 1.061e+02
3.060e+00 2.447e+02 1.171e+02 2.922e+02 6.863e+02 1.154e+02
3.088e+00 2.452e+02 1.173e+02 3.052e+02 5.502e+02 1.060e+02
3.117e+00 2.453e+02 1.074e+02 3.641e+02 5.503e+02 1.060e+02
3.145e+00 2.450e+02 1.174e+02 2.922e+02 5.498e+02 1.060e+02
3.174e+00 2.453e+02 1.172e+02 3.047e+02 5.498e+02 1.148e+02
3.203e+00 2.453e+02 1.169e+02 2.926e+02 5.545e+02 1.145e+02
3.231e+00 2.452e+02 6.481e+00 3.050e+02 5.503e+02 2.399e+02
3.260e+00 2.449e+02 1.172e+02 3.049e+02 5.502e+02 1.058e+02
3.290e+00 2.454e+02 1.171e+02 2.925e+02 7.736e+02 2.776e+02
3.319e+00 2.453e+02 1.169e+02 2.924e+02 7.197e+02 1.055e+02
3.347e+00 2.451e+02 9.647e+01 3.055e+02 4.214e+02 1.061e+02
3.378e+00 2.457e+02 2.985e+01 2.920e+02 5.505e+02 1.145e+02
3.408e+00 7.917e+01 1.166e+02 3.047e+02 7.407e+02 1.060e+02
3.438e+00 3.344e+02 1.170e+02 2.926e+02 7.322e+02 1.062e+02
3.468e+00 4.023e+02 1.174e+02 2.922e+02 6.177e+02 1.058e+02
3.496e+00 2.667e+02 1.170e+02 3.044e+02 5.445e+02 1.060e+02
3.525e+00 2.453e+02 1.170e+02 2.921e+02 5.500e+02 1.056e+02
3.553e+00 2.452e+02 1.169e+02 2.922e+02 5.502e+02 1.062e+02
3.583e+00 2.454e+02 1.169e+02 2.924e+02 8.222e+02 1.148e+02
3.611e+00 2.448e+02 1.173e+02 3.051e+02 4.933e+02 1.054e+02
3.638e+00 2.453e+02 1.168e+02 2.925e+02 4.843e+02 1.059e+02
3.668e+00 2.452e+02 1.173e+02 2.923e+02 5.503e+02 1.142e+02
3.696e+00 2.453e+02 1.171e+02 3.050e+02 5.502e+02 1.145e+02
3.725e+00 2.450e+02 1.171e+02 2.922e+02 5.500e+02 1.060e+02
3.753e+00 2.452e+02 1.168e+02 2.925e+02 5.501e+02 1.151e+02
3.785e+00 2.452e+02 1.174e+02 2.923e+02 8.043e+02 3.581e+02
3.814e+00 2.450e+02 5.893e+01 2.921e+02 7.197e+02 1.056e+02
3.845e+00 2.448e+02 1.169e+02 2.921e+02 7.243e+02 1.150e+02
3.872e+00 2.367e+02 1.173e+02 3.047e+02 5.826e+02 1.059e+02
3.904e+00 2.453e+02 1.173e+02 2.918e+02 8.043e+02 2.481e+02
3.931e+00 2.451e+02 1.169e+02 2.926e+02 5.513e+02 1.064e+02
3.962e+00 2.452e+02 1.173e+02 2.922e+02 7.696e+02 1.146e+02
3.991e+00 2.453e+02 1.168e+02 2.920e+02 5.509e+02 2.306e+02
4.020e+00 2.366e+02 1.171e+02 2.927e+02 4.217e+02 1.145e+02
4.050e+00 2.451e+02 1.168e+02 2.923e+02 7.351e+02 3.971e+02
4.080e+00 2.453e+02 1.169e+02 2.921e+02 5.499e+02 1.146e+02
4.108e+00 2.446e+02 1.171e+02 2.922e+02 7.197e+02 1.149e+02
4.138e+00 2.452e+02 2.067e+01 3.052e+02 7.150e+02 1.147e+02
4.165e+00 2.454e+02 1.174e+02 2.920e+02 4.928e+02 1.057e+02
4.197e+00 2.448e+02 2.638e+01 3.048e+02 8.219e+02 1.058e+02
