Tstamp,Str,Thr,RrLH,FrLH,Fr,FrRH,RrRH
1719764461.96,   -100.00,      0.00,     91.00,     44.00,    213.00,    231.00,     52.00
1719764461.99,   -100.00,      0.00,     82.00,     53.00,    213.00,    231.00,     53.00
1719764462.01,   -100.00,      0.00,     73.00,     62.00,    213.00,    231.00,     53.00
1719764462.03,   -100.00,      0.00,     73.00,     56.00,    213.00,    231.00,     53.00
1719764462.06,   -100.00,      0.00,    103.00,     47.00,    213.00,    232.00,     53.00
1719764462.08,   -100.00,      0.00,     94.00,     47.00,    213.00,    231.00,     53.00
1719764462.10,   -100.00,      0.00,     85.00,     51.00,    213.00,    231.00,     53.00
1719764462.12,   -100.00,      0.00,     85.00,     47.00,    213.00,    231.00,     53.00
1719764462.15,   -100.00,      0.00,     76.00,     47.00,    213.00,    231.00,     53.00
1719764462.17,   -100.00,      0.00,    105.00,     68.00,    213.00,    231.00,     53.00
1719764462.19,   -100.00,      0.00,     88.00,     59.00,    213.00,    231.00,     53.00
1719764462.22,   -100.00,      0.00,     79.00,     59.00,    213.00,    231.00,     53.00
1719764462.24,   -100.00,      0.00,     70.00,     79.00,    213.00,    231.00,     53.00
1719764462.27,   -100.00,      0.00,     70.00,     53.00,    221.00,    232.00,     53.00
1719764462.29,   -100.00,      0.00,     62.00,     53.00,    221.00,    231.00,     53.00
1719764462.31,   -100.00,      0.00,     62.00,    546.00,    213.00,    280.00,     53.00
1719764462.34,    -93.00,      0.00,     62.00,    551.00,    213.00,    231.00,     53.00
1719764462.37,    -92.00,      0.00,     62.00,    546.00,    213.00,    231.00,     53.00
1719764462.39,    -92.00,      0.00,     62.00,    550.00,    212.00,    231.00,     53.00
1719764462.42,    -91.00,      0.00,     62.00,    543.00,    213.00,    231.00,     53.00
1719764462.44,    -91.00,      0.00,     62.00,    543.00,    213.00,    278.00,     53.00
1719764462.47,    -97.00,      0.00,     62.00,    548.00,    213.00,    231.00,     53.00
1719764462.50,   -100.00,      0.00,     62.00,    282.00,    213.00,    232.00,     53.00
1719764462.52,   -100.00,      0.00,     62.00,     62.00,    212.00,    231.00,     53.00
1719764462.54,   -100.00,      0.00,     62.00,     53.00,    213.00,    231.00,     53.00
1719764462.57,   -100.00,      0.00,     61.00,     53.00,    213.00,    231.00,     53.00
1719764462.59,   -100.00,      0.00,     61.00,     44.00,    213.00,    231.00,     53.00
1719764462.61,   -100.00,      0.00,     62.00,     44.00,    213.00,    231.00,     53.00
1719764462.64,   -100.00,      0.00,     62.00,     44.00,    213.00,    231.00,     53.00
1719764462.66,   -100.00,      0.00,     61.00,     44.00,    213.00,    231.00,     53.00
1719764462.68,   -100.00,      0.00,     62.00,     44.00,    213.00,    231.00,     53.00
1719764462.70,   -100.00,      0.00,     62.00,     44.00,    213.00,    231.00,     53.00
1719764462.73,   -100.00,      0.00,     62.00,     44.00,    204.00,    232.00,     53.00
1719764462.75,   -100.00,      0.00,     62.00,     44.00,    213.00,    231.00,     53.00
1719764462.77,   -100.00,      0.00,     70.00,     44.00,    213.00,    231.00,     53.00
1719764462.80,   -100.00,      0.00,     70.00,     44.00,    213.00,    231.00,     53.00
1719764462.82,   -100.00,      0.00,     70.00,     44.00,    213.00,    232.00,     52.00
1719764462.84,   -100.00,      0.00,     70.00,     44.00,    213.00,    231.00,     53.00
1719764462.87,   -100.00,      0.00,     71.00,     82.00,    212.00,    231.00,     53.00
1719764462.89,   -100.00,      0.00,     62.00,     74.00,    213.00,    231.00,     53.00
1719764462.91,   -100.00,      0.00,     62.00,     56.00,    213.00,    231.00,     53.00
1719764462.94,   -100.00,      0.00,     91.00,     47.00,    222.00,    231.00,     53.00
1719764462.96,   -100.00,      0.00,     82.00,     47.00,    213.00,    231.00,     53.00
1719764462.98,   -100.00,      0.00,     74.00,     62.00,    213.00,    231.00,     53.00
1719764463.00,   -100.00,      0.00,     73.00,     59.00,    213.00,    231.00,     53.00
1719764463.03,   -100.00,      0.00,     73.00,     59.00,    213.00,    231.00,     53.00
1719764463.05,   -100.00,      0.00,     94.00,     50.00,    213.00,    231.00,     53.00
1719764463.07,   -100.00,      0.00,     85.00,     50.00,    212.00,    231.00,     53.00
1719764463.10,   -100.00,      0.00,     85.00,     50.00,    213.00,    231.00,     53.00
1719764463.12,   -100.00,      0.00,     85.00,     50.00,    213.00,    232.00,     53.00
1719764463.14,   -100.00,      0.00,     85.00,     59.00,    213.00,    231.00,     53.00
1719764463.17,   -100.00,      0.00,     85.00,     58.00,    213.00,    231.00,     53.00
1719764463.19,   -100.00,      0.00,     85.00,     59.00,    213.00,    231.00,     53.00
1719764463.21,   -100.00,      0.00,     85.00,     68.00,    213.00,    231.00,     53.00
1719764463.24,   -100.00,      0.00,     85.00,     67.00,    213.00,    231.00,     53.00
1719764463.26,   -100.00,      0.00,     85.00,     76.00,    213.00,    231.00,     53.00
1719764463.28,   -100.00,      0.00,     85.00,     77.00,    213.00,    231.00,     53.00
1719764463.31,   -100.00,      0.00,     94.00,     76.00,    213.00,    231.00,     53.00
1719764463.33,   -100.00,      0.00,     94.00,     76.00,    213.00,    231.00,     53.00
1719764463.35,   -100.00,      0.00,     94.00,     68.00,    213.00,    232.00,     53.00
1719764463.38,   -100.00,      0.00,     94.00,     67.00,    213.00,    232.00,     53.00
1719764463.40,   -100.00,      0.00,    102.00,     58.00,    213.00,    231.00,     53.00
1719764463.42,   -100.00,      0.00,     74.00,     59.00,    213.00,    232.00,     53.00
1719764463.45,   -100.00,      0.00,     73.00,     50.00,    213.00,    232.00,     52.00
1719764463.47,   -100.00,      0.00,     73.00,     50.00,    213.00,    231.00,     53.00
1719764463.49,   -100.00,      0.00,     73.00,     50.00,    212.00,    231.00,     53.00
1719764463.52,   -100.00,      0.00,     73.00,     79.00,    213.00,    231.00,     53.00
1719764463.54,   -100.00,      0.00,     82.00,     49.00,    213.00,    232.00,     53.00
1719764463.56,   -100.00,      0.00,     82.00,     50.00,    213.00,    232.00,     53.00
1719764463.59,   -100.00,      0.00,     82.00,     68.00,    213.00,    231.00,     53.00
1719764463.61,   -100.00,      0.00,     82.00,     56.00,    212.00,    231.00,     53.00
1719764463.63,   -100.00,      0.00,     62.00,     50.00,    213.00,    232.00,     53.00
