Time Thr StrRrLH FrLH Fr FrRH RrRH 
1716110086.65       0.00       0.00     284.78     306.45     548.06     567.97     411.04
1716110086.69       0.00       0.00     284.45     280.81     543.39     567.08     439.78
1716110086.72       0.00       0.00     284.64     281.40     548.19     564.05     410.35
1716110086.75       0.00       0.00     284.47     272.71     542.57     567.81     432.41
1716110086.78       0.00       0.00     284.84     280.91     547.59     567.88     428.74
1716110086.81       0.00       0.00     284.74     281.38     526.09     563.05     410.75
1716110086.84       0.00       0.00     284.42     345.03     310.05     563.79     410.65
1716110086.87       0.00       0.00     284.40     306.83     517.88     567.70     410.77
1716110086.90       0.00       0.00     284.67     309.31     547.67     563.63     432.36
1716110086.93       0.00       0.00     284.82     281.18     543.33     563.60     428.57
1716110086.96       0.00       0.00     284.78     307.17     543.02     559.36     432.81
1716110086.99       0.00       0.00     284.57     281.17     543.20     561.83     410.71
1716110087.01       0.00       0.00     285.01     267.27     543.52     563.29     410.57
1716110087.04       0.00       0.00     284.74     306.89     547.22     567.43     432.56
1716110087.07       0.00       0.00     284.55     281.04     543.81     563.59     410.95
1716110087.11       0.00       0.00     216.67     281.49     547.48     563.65     482.01
1716110087.14       0.00       0.00     285.16     306.79     547.64     563.45     410.96
1716110087.17       0.00       0.00     284.55     280.99     543.09     567.89     410.84
1716110087.20       0.00       0.00     290.57     345.54     534.51     567.65     410.93
1716110087.22       0.00       0.00     284.57     306.41     224.63     563.18     410.88
1716110087.25       0.00       0.00     284.67     258.89     547.20     559.46     410.87
1716110087.28       0.00       0.00     284.64     280.98     526.42     563.23     410.72
1716110087.31       0.00       0.00     284.63     280.99     526.14     563.87     410.49
1716110087.34       0.00       0.00     284.44     281.03     525.92     567.34     410.89
1716110087.37       0.00       0.00     284.61     306.95     543.17     237.35     410.48
1716110087.40       0.00       0.00     284.92     345.42     523.29     566.04     432.84
1716110087.43       0.00       0.00     285.13     307.19     534.50     563.47     432.97
1716110087.46       0.00       0.00     284.36     293.55     535.02     566.56     410.80
1716110087.48       0.00       0.00     284.95     293.67     526.44     254.32     410.73
1716110087.51       0.00       0.00     284.29     306.49     487.25     567.66     410.62
1716110087.54       0.00       0.00     284.94     281.01     534.50     245.57     410.78
1716110087.57       0.00       0.00     284.51     280.89     534.54     559.55     410.78
1716110087.60       0.00       0.00     284.83     210.04     534.94     562.40     411.10
1716110087.63       0.00       0.00     284.52     281.07     547.50     566.62     410.55
1716110087.66       0.00       0.00     284.55     281.05     551.51     563.48     410.50
1716110087.69       0.00       0.00     284.61     345.13     547.58     568.04     410.58
1716110087.72       0.00       0.00     284.69     307.13     534.95     566.48     428.71
1716110087.75       0.00       0.00     284.39     306.75     547.43     563.40     410.79
1716110087.78       0.00       0.00     284.47     306.77     534.46     568.07     410.48
1716110087.81       0.00       0.00     284.44     306.80     526.25     570.18     410.50
1716110087.84       0.00       0.00     284.97     280.97     534.66     558.32     410.65
1716110087.87       0.00       0.00     284.55     307.15     534.72     502.82     410.74
1716110087.90       0.00       0.00     285.09     306.81     534.50     566.46     410.57
1716110087.93       0.00       0.00     284.80     306.84     526.22     568.09     410.88
1716110087.96       0.00       0.00     284.91     306.81     547.86     567.43     410.72
1716110087.99       0.00       0.00     284.62     306.82     479.07     567.90     432.67
1716110088.01       0.00       0.00     285.01     294.05     543.20     561.87     428.34
1716110088.04       0.00       0.00     284.89     345.52     491.13     433.11     410.33
1716110088.07       0.00       0.00     284.68     306.76     542.96     566.25     410.88
